CREATE FUNCTION
      list_category      
-------------------------
 AMADEUS HOLY
 AMERICAN CIRCUS
 ANTITRUST TOMATOES
 ARK RIDGEMONT
 BAREFOOT MANCHURIAN
 BERETS AGENT
 BRIDE INTRIGUE
 BULL SHAWSHANK
 CADDYSHACK JEDI
 CAMPUS REMEMBER
 CASUALTIES ENCINO
 CELEBRITY HORN
 CLUELESS BUCKET
 CROW GREASE
 DANCES NONE
 DARKO DORADO
 DARN FORRESTER
 DEVIL DESIRE
 DRAGON SQUAD
 DREAM PICKUP
 DRIFTER COMMANDMENTS
 EASY GLADIATOR
 ENTRAPMENT SATISFACTION
 EXCITEMENT EVE
 FANTASY TROOPERS
 FIREHOUSE VIETNAM
 FOOL MOCKINGBIRD
 FORREST SONS
 GLASS DYING
 GOSFORD DONNIE
 GRAIL FRANKENSTEIN
 HANDICAP BOONDOCK
 HILLS NEIGHBORS
 KISSING DOLLS
 LAWRENCE LOVE
 LORD ARIZONA
 LUST LOCK
 MAGNOLIA FORRESTER
 MIDNIGHT WESTWARD
 MINDS TRUMAN
 MOCKINGBIRD HOLLYWOOD
 MONTEZUMA COMMAND
 PARK CITIZEN
 PATRIOT ROMAN
 PRIMARY GLASS
 QUEST MUSSOLINI
 REAR TRADING
 RINGS HEARTBREAKERS
 RUGRATS SHAKESPEARE
 SHRUNK DIVINE
 SIDE ARK
 SKY MIRACLE
 SOUTH WAIT
 SPEAKEASY DATE
 STAGECOACH ARMAGEDDON
 STORY SIDE
 SUSPECTS QUILLS
 TRIP NEWTON
 TRUMAN CRAZY
 UPRISING UPTOWN
 WATERFRONT DELIVERANCE
 WEREWOLF LOLA
 WOMEN DORADO
 WORST BANGER
(64 rows)

     list_category      
------------------------
 ALTER VICTORY
 ANACONDA CONFESSIONS
 ARGONAUTS TOWN
 BIKINI BORROWERS
 BLACKOUT PRIVATE
 BORROWERS BEDAZZLED
 CANYON STOCK
 CAROL TEXAS
 CHAMPION FLATLINERS
 CLASH FREDDY
 CLUB GRAFFITI
 CROSSROADS CASUALTIES
 DARES PLUTO
 DESIRE ALIEN
 DOGMA FAMILY
 DONNIE ALLEY
 DOORS PRESIDENT
 DOUBLE WRATH
 DUCK RACER
 EARLY HOME
 FALCON VOLUME
 FIGHT JAWBREAKER
 FLOATS GARDEN
 FLYING HOOK
 FORRESTER COMANCHEROS
 GANGS PRIDE
 GHOSTBUSTERS ELF
 HARPER DYING
 HOOK CHARIOTS
 HORN WORKING
 INCH JET
 INSECTS STONE
 INTENTIONS EMPIRE
 ISHTAR ROCKETEER
 JUGGLER HARDLY
 LAWLESS VISION
 LUKE MUMMY
 MASSAGE IMAGE
 MENAGERIE RUSHMORE
 MIRACLE VIRTUAL
 MISSION ZOOLANDER
 NASH CHOCOLAT
 OSCAR GOLD
 OZ LIAISONS
 PACKER MADIGAN
 POND SEATTLE
 POTLUCK MIXED
 POTTER CONNECTICUT
 PRIDE ALAMO
 PUNK DIVORCE
 ROOM ROMAN
 SLEEPLESS MONSOON
 SNOWMAN ROLLERCOASTER
 SONS INTERVIEW
 STORM HAPPINESS
 SUGAR WONKA
 SUNRISE LEAGUE
 TELEMARK HEARTBREAKERS
 THEORY MERMAID
 THIEF PELICAN
 TITANIC BOONDOCK
 TRACY CIDER
 TURN STAR
 WAIT CIDER
 WATCH TRACY
 WONKA SEA
(66 rows)

    list_category     
----------------------
 BACKLASH UNDEFEATED
 BEAR GRACELAND
 BENEATH RUSH
 BETRAYED REAR
 CABIN FLASH
 CASPER DRAGONFLY
 CHRISTMAS MOONSHINE
 CIRCUS YOUTH
 CLOCKWORK PARADISE
 COMANCHEROS ENEMY
 CROOKED FROGMEN
 DAUGHTER MADIGAN
 DOCTOR GRAIL
 EMPIRE MALKOVICH
 FARGO GANDHI
 FOREVER CANDIDATE
 FULL FLATLINERS
 FURY MURDER
 GHOST GROUNDHOG
 GIANT TROOPERS
 GORGEOUS BINGO
 GRADUATE LORD
 HALL CASSIDY
 HEARTBREAKERS BRIGHT
 HOLLYWOOD ANONYMOUS
 HOLOCAUST HIGHBALL
 IDOLS SNATCHERS
 INVASION CYCLONE
 JERSEY SASSY
 JUMPING WRATH
 LABYRINTH LEAGUE
 LANGUAGE COWBOY
 LEGALLY SECRETARY
 MAGIC MALLRATS
 MAKER GABLES
 MICROCOSMOS PARADISE
 MODEL FISH
 MURDER ANTITRUST
 NOON PAPI
 POLISH BROOKLYN
 ROBBERS JOON
 SABRINA MIDNIGHT
 SANTA PARIS
 SCARFACE BANG
 SHEPHERD MIDSUMMER
 SISTER FREDDY
 SPLENDOR PATTON
 STRANGELOVE DESIRE
 STRANGER STRANGERS
 SUNDANCE INVASION
 SWEETHEARTS SUSPECTS
 TEQUILA PAST
 TIES HUNGER
 TOOTSIE PILOT
 TWISTED PIRATES
 UPTOWN YOUNG
 WALLS ARTIST
